artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,=,32iAEBstCjauDhyKpGjTuq,2021-10-25,83,False,0.788,0.859,D,-2.724,Major,0.0856,0.281,0.0,0.0424,0.822,141.02,4,[],Studio Album,03:27,2021,October,Monday
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,85,False,0.599,0.448,G#/Ab,-6.312,Major,0.0232,0.163,0.0,0.106,0.168,95.05,3,[],Studio Album,04:23,2017,March,Friday
Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,86,False,0.825,0.652,C#/Db,-3.183,Minor,0.0802,0.581,0.0,0.0931,0.931,95.977,4,[],Studio Album,03:53,2017,March,Friday
Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,=,32iAEBstCjauDhyKpGjTuq,2021-10-25,80,False,0.807,0.893,B,-3.745,Minor,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,4,[],Studio Album,03:50,2021,October,Monday
Ed Sheeran,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,78,False,0.461,0.834,D,-4.868,Major,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4,[],Studio Album,04:21,2017,March,Friday
Ed Sheeran,Photograph,6fxVffaTuwjgEk5h9QyRjy,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2015-11-13,67,False,0.614,0.379,E,-10.48,Major,0.0476,0.607,0.000464,0.0986,0.201,107.989,4,[],Live Album,04:18,2015,November,Friday
Ed Sheeran,I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,2019-07-12,78,False,0.798,0.676,F#/Gb,-5.041,Major,0.0442,0.0902,0.0,0.0894,0.843,101.956,4,['Justin Bieber'],Studio Album,03:39,2019,July,Friday
Ed Sheeran,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,2014-06-21,80,False,0.781,0.445,D,-6.061,Major,0.0295,0.474,0.0,0.184,0.591,78.998,4,[],Studio Album,04:41,2014,June,Saturday
Ed Sheeran,Galway Girl,0afhq8XCExXpqazXczTSve,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,76,False,0.624,0.876,A,-3.374,Major,0.1,0.0735,0.0,0.327,0.781,99.943,4,[],Studio Album,02:50,2017,March,Friday
Ed Sheeran,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,2014-06-21,84,False,0.614,0.379,E,-10.48,Major,0.0476,0.607,0.000464,0.0986,0.201,107.989,4,[],Studio Album,04:18,2014,June,Saturday
